1.	가장 오랫동안 공부한 마법 학파는 무엇입니까?
a.	파괴마법
	#4150
	!4156
	22 +6
b.	회복마법
	#4151
	!4157
	23 +6
c.	환영마법
	#4152
	!4158
	24 +6
d.	변화마법
	#4153
	!4159
	25 +6
e.	기적술
	#4154
	!4160
	26 +6
f.	신비마법
	#4155
	!4161
	27 +6

2.	당신이 모험가의 삶을 택한 이유는 무엇입니까?
a.	부
	#4162
	!4263
	GP +500
b.	명성
	#4163
	!4266
	r4 +10
	r2 +10
c.	지식
	#4164
	!4260
	IT 7 0 0
d.	즐거움
	#4165
	!4265
	1 +3
	2 +3
e.	다른 사람을 돕기 위해
	#4166
	!4261
	r0 +10

3.	정규 수업이 없는 동안에는 주로 ___하며 시간을 보냈습니다.
a.	귀족들과 어울리기
	1 +6
	r3 +5
	r0 -5
b.	거리에서 살아가는 요령 배우기
	2 +6
	r0 +2
	r4 +3
	r3 -5
c.	곡예 연습하기
	3 +2
	20 +2
	18 +2
d.	경제학 배우기
	14 +6
e.	수영하기
	17 +6
f.	대련하기
	30 +6

4.	어린 시절부터 소중히 간직해 온 것은 ___입니다.
a.	금화 100닢
	#4167
	GP + 100
b.	아끼는 책 한 권
	#4168
	IT 7 0 0
c.	흉갑
	#4169
	IT 2 0 0
d.	진주
	#4191
	IT 22 1 0

5.	당신의 공로에 대한 보답으로 황제가 준 것은 ___입니다.
a.	금화 200닢 이상
	#4172
	GP +250
b.	에보니 단검
	#4173
	IT 3 0 7
c.  책 한 권
	#4174
	IT 7 0 0
d.	루비
	#4175
	IT 14 0 0
e.	은제 지팡이
	#4176
	IT 3 2 2
f.	갑옷 한 벌
	#4196
	IT 2 0 0
	IT 2 2 0
	IT 2 3 0
	IT 2 4 0

6.	성장한 뒤에는 ___ 학파의 마법을 추가로 배웠습니다.
a.	파괴마법
	#4178
	22 +6
b.	회복마법
	#4179
	23 +6
c.	환영마법
	#4180
	24 +6
d.	변화마법
	#4181
	25 +6
e.	기적술
	#4182
	26 +6
f.	신비마법
	#4183
	27 +6

7.	어린 시절 당신의 별명은 ___였습니다.
a.	토끼
	3 +6
b.	송사리
	17 +6
c.	수은
	21 +6
d.	싸움꾼
	30 +6
e.	원숭이
	18 +6

8.	당신은 보통 사람보다 ___과 더 우호적입니다.
a.	야만적인 하피
	5 +6
b.	순박한 거인
	6 +6
c.	영광스러운 드래곤
	7 +6
d.	수줍음 없는 님프
	8 +6
e.	지옥의 데이드라
	9 +6
f.	전원적인 스프리건
	10 +6
g.	원시적인 켄타우로스
	11 +6
h.	장난기 많은 임프
	12 +6

9.	불쾌한 부류 가운데 당신이 가장 증오하는 이들은 ___입니다.
a.	독선적인 사제
	AE M 8 12 +3
b.	악마 같은 마법사
	AE M 8 2 +4
c.	어리석은 농민
	AE M 8 8 +3
d.	권력에 미친 악덕 영주
	AE M 8 17 +4
e.	부도덕한 암살자
	AE M 8 11 +2

10.	당신은 ___와 막역한 친구 사이입니다.
a.	수도사
	AF O 8 12 +1
b.	마법사
	AF O 8 2 +1
c.	도적
	AF O 8 8 +1
d.	전사
	AF O 8 17 +1
e.	암살자
	AF O 8 11 +1

11.	당신이 숭배하는 신이 있다면 누구입니까?
a.	없음
	r2 +5
b.	탄생과 죽음의 신 아케이
	rf82 +5
c.	상업의 신 제니타르
	rf84 +5
d.	어머니 여신 마라
	rf88 +5
e.	아름다움의 여신 디벨라
	rf98 +5
f.	논리의 신 줄리아노스
	rf94 +5
g.	시간의 신 아카토쉬
	rf92 +5
h.	자비의 신 스텐다르
	rf106 +5
i.	하늘의 여신 키나레스
	rf36 +5

12.	당신이 가장 어려움을 겪는 것은 ___입니다.
a.	독에 저항하기
	RP -10
b.	잠들지 않고 경계를 유지하기
	FT -5
c.	다른 사람들과 원만하게 지내기
	RR -5
d.	질병을 피하기
	RD -5
e.	마법에 저항하기
	MR -5
f.	마법 없이 싸우기
	TH -5

